Season,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,FTR,B365H,B365D,B365A,mktProb_homeWin,mktProb_Draw,mktProb_awayWin,results,predictions,probability,bet,payout,cum_payout,bankroll,payout_frac,cum_payout_frac,bankroll_frac,payout_kelly,cum_payout_kelly,bankroll_kelly
2017-2018,Swansea,Tottenham,0.0,2.0,8.0,12.0,A,12.0,4.75,1.3,0.08,0.2,0.72,2,2,0.474,0,0.0,-1065.0,-65.0,0.0,-678.5401709688334,321.4598290311666,0.0,-685.2308025428922,314.7691974571076
2017-2018,West Ham,West Brom,2.0,1.0,13.0,10.0,H,1.9,3.39,4.09,0.49,0.28,0.23,1,0,0.39,1,-50.0,-1115.0,-115.0,-16.07299145155833,-694.6131624203917,305.38683757960825,-12.2759987008272,-697.5068012437195,302.49319875628044
2017-2018,Arsenal,Chelsea,2.0,2.0,14.0,19.0,D,2.6,3.39,2.6,0.36,0.28,0.36,0,2,0.432,1,-50.0,-1165.0,-165.0,-15.269341878980413,-709.8825042993722,290.11749570062784,-9.490191552529783,-706.9969927962493,293.00300720375066
2017-2018,Tottenham,West Ham,1.0,1.0,31.0,3.0,D,1.25,6.0,10.0,0.75,0.16,0.09,0,1,0.832,1,-50.0,-1215.0,-215.0,-14.505874785031393,-724.3883790844036,275.61162091559646,-10.882968838996451,-717.8799616352458,282.1200383647542
2017-2018,Chelsea,Leicester,0.0,0.0,17.0,14.0,D,1.3,5.75,12.0,0.75,0.17,0.08,0,1,0.55,0,-0.0,-1215.0,-215.0,0.0,-724.3883790844036,275.61162091559646,0.0,-717.8799616352458,282.1200383647542
2017-2018,Crystal Palace,Burnley,1.0,0.0,17.0,8.0,H,2.0,3.29,4.5,0.49,0.3,0.22,1,1,0.502,0,0.0,-1215.0,-215.0,0.0,-724.3883790844036,275.61162091559646,0.0,-717.8799616352458,282.1200383647542
2017-2018,Huddersfield,West Ham,1.0,4.0,8.0,8.0,A,2.62,3.1,3.1,0.37,0.31,0.31,2,1,0.434,1,-50.0,-1265.0,-265.0,-13.780581045779824,-738.1689601301835,261.83103986981666,-9.031579567403115,-726.9115412026489,273.08845879735105
2017-2018,Newcastle,Swansea,1.0,1.0,12.0,8.0,D,1.95,3.39,4.5,0.5,0.29,0.22,0,1,0.498,0,-0.0,-1265.0,-265.0,0.0,-738.1689601301835,261.83103986981666,0.0,-726.9115412026489,273.08845879735105
2017-2018,Tottenham,Everton,4.0,0.0,20.0,7.0,H,1.28,6.0,13.0,0.76,0.16,0.08,1,1,0.76,0,0.0,-1265.0,-265.0,0.0,-738.1689601301835,261.83103986981666,0.0,-726.9115412026489,273.08845879735105
2017-2018,Watford,Southampton,2.0,2.0,16.0,10.0,D,2.5,3.39,3.0,0.39,0.29,0.32,0,1,0.456,1,-50.0,-1315.0,-315.0,-13.091551993490834,-751.2605121236743,248.73948787632582,-8.870354902480134,-735.781896105129,264.2181038948709
2017-2018,West Brom,Brighton,2.0,0.0,15.0,13.0,H,2.14,3.0,4.33,0.45,0.32,0.22,1,1,0.682,1,57.00000000000001,-1258.0,-258.0,14.178150808950575,-737.0823613147237,262.9176386852764,19.21815304915561,-716.5637430559734,283.4362569440265
2017-2018,Bournemouth,Arsenal,2.0,1.0,13.0,12.0,H,4.75,4.2,1.75,0.21,0.23,0.56,1,2,0.406,0,-0.0,-1258.0,-258.0,0.0,-737.0823613147237,262.9176386852764,0.0,-716.5637430559734,283.4362569440265
2017-2018,Liverpool,Man City,4.0,3.0,16.0,11.0,H,3.1,3.75,2.29,0.31,0.26,0.43,1,2,0.498,1,-50.0,-1308.0,-308.0,-13.145881934263821,-750.2282432489875,249.7717567510126,-9.419456323898793,-725.9831993798722,274.01680062012775
2017-2018,Man United,Stoke,3.0,0.0,20.0,11.0,H,1.22,7.0,15.0,0.8,0.14,0.07,1,1,0.748,0,0.0,-1308.0,-308.0,0.0,-750.2282432489875,249.7717567510126,0.0,-725.9831993798722,274.01680062012775
2017-2018,Arsenal,Crystal Palace,4.0,1.0,16.0,9.0,H,1.5,4.75,7.0,0.65,0.21,0.14,1,1,0.596,0,0.0,-1308.0,-308.0,0.0,-750.2282432489875,249.7717567510126,0.0,-725.9831993798722,274.01680062012775
2017-2018,Brighton,Chelsea,0.0,4.0,10.0,14.0,A,6.5,3.89,1.61,0.15,0.25,0.6,2,2,0.56,0,0.0,-1308.0,-308.0,0.0,-750.2282432489875,249.7717567510126,0.0,-725.9831993798722,274.01680062012775
2017-2018,Burnley,Man United,0.0,1.0,13.0,12.0,A,7.5,3.89,1.57,0.13,0.25,0.62,2,2,0.506,0,0.0,-1308.0,-308.0,0.0,-750.2282432489875,249.7717567510126,0.0,-725.9831993798722,274.01680062012775
2017-2018,Everton,West Brom,1.0,1.0,9.0,15.0,D,2.14,3.2,4.0,0.45,0.3,0.24,0,1,0.4,0,-0.0,-1308.0,-308.0,0.0,-750.2282432489875,249.7717567510126,0.0,-725.9831993798722,274.01680062012775
2017-2018,Leicester,Watford,2.0,0.0,9.0,11.0,H,1.85,3.89,4.33,0.53,0.25,0.22,1,1,0.724,1,42.50000000000001,-1265.5,-265.5,10.615299661918037,-739.6129435870695,260.38705641293063,13.74700590502391,-712.2361934748483,287.76380652515167
2017-2018,Man City,Newcastle,3.0,1.0,21.0,6.0,H,1.12,10.0,26.0,0.87,0.1,0.04,1,1,0.662,0,0.0,-1265.5,-265.5,0.0,-739.6129435870695,260.38705641293063,0.0,-712.2361934748483,287.76380652515167
2017-2018,Stoke,Huddersfield,2.0,0.0,11.0,6.0,H,2.04,3.39,4.09,0.48,0.29,0.24,1,1,0.466,0,0.0,-1265.5,-265.5,0.0,-739.6129435870695,260.38705641293063,0.0,-712.2361934748483,287.76380652515167
